#{"t_start": 1600182218.320713, "env_id": null}
r,l,t
4.0,117,1370.020534
5.0,128,1377.273528
3.0,127,1384.455964
3.0,96,1389.780195
4.0,77,1394.142405
5.0,76,1398.445953
2.0,69,1402.308217
4.0,76,1406.58224
2.0,63,1410.14412
2.0,68,1414.030345
3.0,69,1417.915942
5.0,86,1422.719521
5.0,133,1430.161322
2.0,67,1433.920195
1.0,68,1437.743436
2.0,71,1441.748377
3.0,68,1445.562059
1.0,68,1449.378993
4.0,101,1455.051465
3.0,101,1460.723219
3.0,69,1464.609376
4.0,138,1472.420323
5.0,101,1478.104046
4.0,130,1485.405183
3.0,68,1489.230476
9.0,163,1498.513706
2.0,66,1502.200925
4.0,79,1506.641536
7.0,151,1515.111409
1.0,63,1518.636206
4.0,77,1522.940419
2.0,61,1526.385064
4.0,125,1533.391575
4.0,79,1537.828185
3.0,60,1541.180774
2.0,68,1544.962183
5.0,87,1549.831414
2.0,66,1553.513165
4.0,75,1557.699337
2.0,75,1561.913482
3.0,60,1565.307282
4.0,70,1569.21029
3.0,69,1573.079232
4.0,101,1578.723571
4.0,85,1583.461736
2.0,75,1587.657956
2.0,68,1591.480635
2.0,70,1595.376942
2.0,70,1599.300674
3.0,75,1603.472504
3.0,77,1607.764893
3.0,70,1611.680158
7.0,107,1617.640322
4.0,104,1623.445193
4.0,111,1629.693376
4.0,112,1635.948148
3.0,93,1641.14046
4.0,124,1648.079501
3.0,75,1652.262186
1.0,62,1655.748068
4.0,99,1661.214914
4.0,101,1666.832484
4.0,114,1673.316801
4.0,103,1679.120492
2.0,70,1683.081028
4.0,77,1687.516658
3.0,132,1695.139704
2.0,60,1702.936957
2.0,60,1706.306869
2.0,61,1709.721216
3.0,69,1713.59714
6.0,76,1717.896301
1.0,62,1721.453615
4.0,75,1725.671836
2.0,62,1729.163512
3.0,75,1733.41213
7.0,168,1742.974079
4.0,111,1749.275459
4.0,133,1756.959611
3.0,87,1762.033413
3.0,141,1774.448253
3.0,75,1778.722456
3.0,68,1782.614962
4.0,108,1788.866483
3.0,137,1796.880814
5.0,75,1801.262992
4.0,136,1809.222192
3.0,111,1815.723089
3.0,107,1822.002448
6.0,75,1826.35309
3.0,87,1831.437359
3.0,74,1835.791233
1.0,66,1839.63457
2.0,70,1843.72082
4.0,106,1849.933603
5.0,103,1855.90982
3.0,75,1860.281462
2.0,76,1864.727175
2.0,136,1872.643086
3.0,77,1877.132713
1.0,65,1880.920396
1.0,79,1885.511628
4.0,75,1889.894563
5.0,125,1897.174318
5.0,104,1907.477772
3.0,61,1911.018281
3.0,75,1915.388969
3.0,108,1921.65137
2.0,64,1925.406498
1.0,82,1930.180764
1.0,61,1933.743582
5.0,126,1941.114143
4.0,77,1945.626421
3.0,79,1950.237604
4.0,79,1954.845597
7.0,162,1964.31085
4.0,134,1972.104772
4.0,115,1978.801827
4.0,78,1983.311375
5.0,108,1989.651703
3.0,112,1996.199083
5.0,101,2002.084491
3.0,93,2007.551424
4.0,128,2015.047398
3.0,78,2019.584777
3.0,115,2026.284191
2.0,74,2030.63202
2.0,68,2034.609049
3.0,77,2039.12144
9.0,176,2049.436285
4.0,79,2054.064792
4.0,109,2060.396769
4.0,108,2066.561292
3.0,127,2073.79746
6.0,113,2080.34724
4.0,108,2086.622302
3.0,63,2090.293056
3.0,80,2094.94891
2.0,61,2098.507465
4.0,78,2103.046562
6.0,114,2109.676225
4.0,107,2115.915794
4.0,133,2123.668744
5.0,109,2130.011737
4.0,110,2136.394939
4.0,70,2140.475042
4.0,105,2146.590006
5.0,76,2151.046714
3.0,102,2156.994777
5.0,131,2164.668414
2.0,66,2168.52621
3.0,71,2172.746198
4.0,77,2177.249233
4.0,110,2183.65916
5.0,104,2189.703203
5.0,101,2209.782062
2.0,75,2214.169275
4.0,107,2220.4536
3.0,77,2224.956073
1.0,68,2228.923723
3.0,77,2233.450297
3.0,135,2241.325933
2.0,62,2244.929984
4.0,75,2249.321494
5.0,103,2255.332659
3.0,70,2259.425717
3.0,76,2263.893392
3.0,77,2268.432443
5.0,139,2276.568591
5.0,103,2282.593667
3.0,107,2288.88883
7.0,225,2302.085947
3.0,91,2307.340376
4.0,105,2313.439732
5.0,110,2319.881367
4.0,110,2326.301163
4.0,104,2332.3583
4.0,135,2340.232047
2.0,66,2344.09514
2.0,61,2347.652838
4.0,142,2355.915996
3.0,71,2360.032853
3.0,63,2363.696493
4.0,107,2369.923932
3.0,102,2375.866517
2.0,97,2381.495191
6.0,114,2388.124269
3.0,135,2395.943721
3.0,83,2400.77385
5.0,132,2408.448025
4.0,105,2414.552289
2.0,61,2418.091902
4.0,143,2426.395935
5.0,103,2432.385807
1.0,60,2435.892289
2.0,76,2440.320791
5.0,110,2446.68953
5.0,197,2458.152926
2.0,82,2462.921625
6.0,101,2468.831973
3.0,68,2472.784646
3.0,128,2480.23838
3.0,69,2484.25231
5.0,108,2490.553347
4.0,110,2496.947104
2.0,68,2500.88577
4.0,77,2505.349428
5.0,133,2513.085409
2.0,93,2518.513896
5.0,111,2524.993399
5.0,108,2531.295883
6.0,101,2537.182083
3.0,75,2541.578507
3.0,63,2545.244545
3.0,61,2548.805302
4.0,126,2556.164675
4.0,70,2560.243639
5.0,101,2566.12326
4.0,75,2570.479733
6.0,110,2576.858918
4.0,108,2583.166336
4.0,125,2590.461005
4.0,141,2598.655326
4.0,133,2606.43606
3.0,70,2610.540667
3.0,70,2614.728419
2.0,71,2619.925794
4.0,75,2625.071274
4.0,95,2630.704063
4.0,103,2636.682675
3.0,70,2640.758694
4.0,79,2645.507779
1.0,60,2649.037911
2.0,60,2652.587263
4.0,69,2656.596019
2.0,60,2660.115592
4.0,128,2667.603828
4.0,76,2672.040104
6.0,126,2679.398021
6.0,107,2685.640151
3.0,64,2689.363038
2.0,60,2692.859132
4.0,107,2699.106572
5.0,127,2706.509209
5.0,78,2711.072933
5.0,89,2716.247265
2.0,62,2719.857779
4.0,103,2725.845819
1.0,61,2729.408413
4.0,77,2733.888667
4.0,75,2738.266671
2.0,75,2746.81922
3.0,69,2750.857596
5.0,107,2757.11268
6.0,101,2763.030896
6.0,142,2771.360584
6.0,123,2778.543497
1.0,61,2782.101757
4.0,68,2786.040748
12.0,452,2816.766218
5.0,79,2821.605129
4.0,75,2826.274507
4.0,123,2833.746411
4.0,108,2840.308343
4.0,68,2844.269809
5.0,101,2850.155373
3.0,68,2854.127062
5.0,89,2859.325313
3.0,83,2864.133996
4.0,88,2869.224701
5.0,101,2875.112588
6.0,113,2881.683127
5.0,77,2886.172264
4.0,78,2890.70053
4.0,79,2899.508105
4.0,78,2904.063542
3.0,101,2909.884439
4.0,117,2916.726554
6.0,101,2922.601001
4.0,101,2928.494438
3.0,105,2934.616047
2.0,68,2938.593338
3.0,101,2948.80151
4.0,104,2954.864579
2.0,93,2960.316811
5.0,102,2966.275422
4.0,132,2973.960138
3.0,63,2977.653604
4.0,118,2984.51922
3.0,77,2989.013289
4.0,107,2995.259381
5.0,84,3000.147749
1.0,67,3004.069907
5.0,130,3011.635733
5.0,143,3019.986245
2.0,92,3025.335223
5.0,101,3031.210342
3.0,123,3038.39121
4.0,79,3042.995109
2.0,61,3046.55438
2.0,77,3051.04187
5.0,101,3056.933151
4.0,123,3078.286443
4.0,108,3084.559579
4.0,139,3092.680443
3.0,68,3096.625443
10.0,226,3109.747229
6.0,87,3114.795053
1.0,63,3118.479187
3.0,78,3123.008922
6.0,151,3131.803392
4.0,82,3136.580346
3.0,77,3141.056563
5.0,106,3147.247471
5.0,101,3153.092549
10.0,225,3166.217344
3.0,107,3172.438732
3.0,115,3179.136071
2.0,69,3183.149152
2.0,62,3186.756099
4.0,68,3190.732717
1.0,63,3194.395049
3.0,83,3199.200788
1.0,62,3202.803731
5.0,115,3209.510054
5.0,107,3215.747942
4.0,104,3221.812762
2.0,75,3226.160362
4.0,107,3232.386759
