#{"t_start": 1600111101.9033527, "env_id": null}
r,l,t
2.0,68,1064.79627
4.0,97,1068.470517
3.0,96,1072.114691
4.0,99,1075.765735
5.0,106,1079.482373
4.0,110,1080.541239
4.0,112,1084.314109
3.0,113,1088.118263
4.0,108,1091.861094
4.0,105,1097.054301
5.0,111,1101.069191
5.0,106,1104.939272
3.0,60,1105.55034
4.0,81,1109.079595
7.0,151,1113.264783
3.0,60,1113.845468
4.0,99,1117.504533
8.0,150,1121.668082
4.0,96,1125.305712
4.0,111,1129.088694
4.0,105,1132.803717
6.0,108,1136.539003
3.0,69,1137.199304
4.0,69,1140.538893
3.0,76,1141.266373
7.0,143,1145.337219
3.0,69,1148.732723
4.0,77,1149.447936
3.0,69,1152.838382
6.0,129,1156.784496
4.0,110,1160.547012
6.0,115,1164.365337
4.0,72,1165.046769
3.0,77,1168.488106
3.0,70,1169.148765
4.0,110,1172.906406
3.0,69,1176.290583
4.0,102,1179.959532
4.0,107,1183.694522
19.0,495,1196.444731
3.0,60,1199.697937
3.0,68,1200.353923
8.0,149,1207.170187
4.0,76,1207.921142
5.0,108,1211.646101
4.0,101,1215.282749
2.0,69,1215.951222
3.0,68,1219.258945
13.0,255,1227.106039
10.0,230,1234.746089
2.0,61,1235.340422
4.0,109,1239.04501
4.0,108,1242.767425
4.0,108,1246.521888
14.0,266,1254.524765
5.0,102,1258.25729
4.0,108,1259.363827
4.0,108,1263.287743
5.0,108,1267.180416
3.0,60,1270.429313
4.0,70,1271.091978
5.0,124,1274.897049
5.0,101,1278.484045
7.0,143,1282.467554
5.0,108,1286.101269
3.0,69,1286.76182
5.0,101,1290.34295
3.0,68,1293.59547
6.0,114,1297.337285
4.0,108,1298.35122
10.0,222,1305.730092
6.0,107,1309.370453
11.0,232,1316.86047
6.0,102,1320.471215
6.0,108,1321.494922
6.0,102,1325.093124
3.0,101,1328.690883
12.0,257,1336.427242
7.0,138,1340.495722
4.0,102,1344.095702
4.0,139,1348.02115
6.0,128,1351.873052
5.0,112,1355.601362
